housing_address,housing_room_count,housing_type,housing_price,housing_selling_method,housing_seller_agency,housing_date_sold,housing_cbd_distance,housing_bedroom_count,housing_bathroom_count,housing_garage_count,housing_land_size,housing_building_area,housing_year_built,housing_lattitude,housing_longitude,suburb_id
1/48 Mathoura Rd,2,u,650000.0,S,Hodges,13/05/2017,4.6,2.0,1.0,0.0,0.0,,,-37.8454,145.0076,100
4 Leighton Ct,3,h,2400000.0,PI,Marshall,20/05/2017,4.6,3.0,2.0,1.0,224.0,,1950.0,-37.8445,145.0124,100
680 Orrong Rd,4,h,3600000.0,PI,RT,20/05/2017,4.6,4.0,2.0,2.0,815.0,,,-37.845,145.0134,100
6/696 Orrong Rd,2,u,750000.0,PI,Williams,20/05/2017,4.6,2.0,1.0,1.0,0.0,,1970.0,-37.8432,145.0137,100
73/145 Canterbury Rd,1,u,247500.0,SA,RT,22/04/2017,4.6,1.0,1.0,1.0,0.0,,,-37.8421,145.0104,100
32/637 Orrong Rd,3,t,1320000.0,S,Gary,29/04/2017,4.6,3.0,2.0,1.0,3.0,131.0,1970.0,-37.8474,145.0125,100
4/5 Selwyn Ct,3,u,922500.0,S,Rodney,29/04/2017,4.6,3.0,1.0,2.0,4657.0,,1980.0,-37.8421,145.0237,100
14/3 Struan St,2,u,760000.0,S,Jellis,29/04/2017,4.6,2.0,1.0,1.0,0.0,,,-37.8359,145.0126,100
5/46 Kororoit Creek Rd,2,u,546000.0,S,Williams,8/04/2017,8.9,2.0,1.0,1.0,2023.0,,1979.0,-37.8573,144.8854,105
2/60 Kororoit Creek Rd,3,t,670000.0,VB,Jas,8/04/2017,8.9,3.0,2.0,2.0,146.0,141.0,2001.0,-37.857,144.8846,105
5 Nicosia Ct,3,h,1070000.0,PI,Williams,8/04/2017,8.9,3.0,2.0,5.0,442.0,249.0,2003.0,-37.8538,144.8722,105
27 Champion Rd,3,h,1575000.0,S,Sweeney,13/05/2017,8.9,3.0,1.0,1.0,860.0,160.0,1950.0,-37.8565,144.8865,105
40 Florence St,4,h,1520000.0,SP,Williams,13/05/2017,8.9,4.0,2.0,3.0,560.0,,,-37.8559,144.8764,105
2/60 Kororoit Creek Rd,3,t,720000.0,SP,Jas,13/05/2017,8.9,3.0,2.0,2.0,146.0,141.0,2001.0,-37.857,144.8846,105
4 Walter St,3,h,1045000.0,S,Williams,29/04/2017,8.9,3.0,2.0,3.0,526.0,159.0,1990.0,-37.855,144.8742,105
14/27 Lewisham Rd,2,u,585000.0,S,hockingstuart,8/04/2017,5.1,2.0,1.0,1.0,0.0,79.0,1965.0,-37.8559,144.999,106
2/6 The Avenue,2,u,690000.0,S,Nelson,13/05/2017,5.1,2.0,1.0,1.0,0.0,,,-37.8573,144.9978,106
3/217 Dandenong Rd,2,u,854000.0,SP,Woodards,22/04/2017,5.1,2.0,1.0,1.0,774.0,90.0,1945.0,-37.8582,144.9979,106
108 Peel St,1,h,900000.0,VB,hockingstuart,29/04/2017,5.1,1.0,1.0,1.0,160.0,,1930.0,-37.8556,144.9885,106
7/113 Punt Rd,1,u,350000.0,SP,Kay,29/04/2017,5.1,1.0,1.0,0.0,0.0,48.0,1975.0,-37.8508,144.984,106
57 Tarcoola Dr,3,h,721500.0,S,Darren,20/05/2017,15.0,3.0,1.0,1.0,594.0,,,-37.7214,145.1063,107
14 Borlase St,5,h,1060000.0,S,Buckingham,29/04/2017,15.0,5.0,2.0,2.0,627.0,232.0,1960.0,-37.7327,145.0804,107
7 Marigolds Rd,3,h,984000.0,S,Darren,29/04/2017,15.0,3.0,2.0,2.0,552.0,,,-37.7285,145.0851,107
4/247 Inkerman St,2,u,450000.0,SP,Buxton,13/05/2017,6.6,2.0,1.0,1.0,0.0,50.0,1960.0,-37.8656,144.9919,11
5/171 Hotham St,2,u,490000.0,VB,hockingstuart,29/04/2017,6.6,2.0,1.0,0.0,601.0,,,-37.8757,144.998,11
2/31 Orange Gr,1,u,440000.0,S,hockingstuart,29/04/2017,6.6,1.0,1.0,0.0,0.0,,1940.0,-37.8686,144.9969,11
2 Diamond St,3,h,1406000.0,S,Nelson,13/05/2017,9.8,3.0,1.0,1.0,34.0,,,-37.7506,144.8891,116
7 Garnet St,3,h,1305000.0,S,Gunn&Co,20/05/2017,9.8,3.0,1.0,2.0,147.0,,,-37.7523,144.8862,116
1/37 Clunes St,3,u,488000.0,S,Ray,13/05/2017,12.4,3.0,1.0,1.0,260.0,150.0,1961.0,-37.7157,145.0386,122
218 Adderley St,3,h,1750000.0,S,Woodards,13/05/2017,1.9,3.0,1.0,1.0,160.0,,1870.0,-37.8082,144.9451,103
3/212 Roden St,2,t,1013000.0,S,Alexkarbon,20/05/2017,1.9,2.0,2.0,1.0,0.0,130.0,2010.0,-37.8094,144.9452,103
7/234 Roden St,3,t,1171000.0,S,Alexkarbon,20/05/2017,1.9,3.0,2.0,1.0,650.0,,,-37.8098,144.9448,103
53 Miller St,2,h,1053000.0,S,Purplebricks,22/04/2017,1.9,2.0,1.0,0.0,147.0,,1880.0,-37.8059,144.9459,103
316/145 Roden St,1,u,295000.0,SP,Alexkarbon,29/04/2017,1.9,1.0,1.0,1.0,0.0,,2013.0,-37.8084,144.9473,103
33 Rainsford Tce,3,h,445000.0,S,Harcourts,20/05/2017,14.5,3.0,1.0,2.0,534.0,,,-37.6741,144.9698,113
456/38 Mt Alexander Rd,2,u,360000.0,SP,Pagan,20/05/2017,5.3,2.0,1.0,1.0,0.0,51.0,2010.0,-37.7847,144.9383,136
118 Marshall Rd,3,h,640000.0,S,Nelson,1/07/2017,10.4,3.0,1.0,2.0,219.0,101.37,1960.0,-37.71655,144.88155,1
9 South Rd,3,h,961000.0,S,Nelson,1/07/2017,10.4,3.0,1.0,2.0,717.0,,1950.0,-37.72274,144.88002,1
126 Mills St,2,h,1535000.0,S,Greg,1/07/2017,3.0,2.0,1.0,0.0,171.0,,1900.0,-37.8481,144.9566,2
2 Bazentin St,3,h,570000.0,S,Barry,1/07/2017,10.5,3.0,1.0,0.0,423.0,142.0,1920.0,-37.77917,144.82223,127
6 Como St,4,h,2345000.0,S,Jellis,1/07/2017,5.7,4.0,2.0,2.0,803.0,,,-37.78122000000001,145.0336,3
151 Chambers Rd,3,h,900000.0,S,Greg,1/07/2017,9.4,3.0,1.0,2.0,672.0,110.0,1960.0,-37.8265,144.84386,5
52 Adelaide St,5,h,5200000.0,SP,Marshall,1/07/2017,6.3,5.0,3.0,3.0,761.0,,,-37.85311,145.02847,6
4 Wippa Ct,3,h,1225000.0,S,hockingstuart,1/07/2017,10.2,3.0,1.0,2.0,770.0,,,-37.87257,145.09781999999996,9
12a Doyle St,3,u,622000.0,S,Moonee,1/07/2017,9.5,3.0,1.0,1.0,204.0,,,-37.76215,144.85986,10
41 Herbert St,3,h,825000.0,SP,McDonald,1/07/2017,9.5,3.0,1.0,4.0,603.0,,,-37.76616,144.8575,10
38 Belmore Rd,4,h,1475000.0,PI,Jellis,1/07/2017,7.9,4.0,3.0,5.0,380.0,,,-37.80156,145.06715,12
50 Corhampton Rd,5,h,2160000.0,S,Noel,1/07/2017,9.7,5.0,1.0,2.0,860.0,,,-37.79888,145.06649,13
2/18 Doncaster Rd,3,t,1050000.0,PI,Ray,1/07/2017,9.7,3.0,3.0,2.0,200.0,,,-37.79362,145.0652,13
2/43 Sutton St,3,h,1275000.0,VB,Fletchers,1/07/2017,9.7,3.0,2.0,2.0,226.0,127.0,1965.0,-37.79495,145.08192,13
18B Orchard Rd,3,t,640000.0,S,Fletchers,1/07/2017,23.2,3.0,2.0,1.0,187.0,125.0,2010.0,-37.83909,145.26075,142
1/19 Glen Park Rd,3,u,500000.0,PI,Stockdale,1/07/2017,23.2,3.0,1.0,2.0,263.0,,1970.0,-37.83303,145.27488,143
73 Charman Rd,4,h,1221000.0,PI,Ray,1/07/2017,17.3,4.0,2.0,3.0,554.0,,1925.0,-37.98139000000001,145.05251,144
3 Wells Rd,4,h,1823000.0,S,Hodges,1/07/2017,17.3,4.0,2.0,3.0,728.0,,,-37.98713,145.04887,144
11 White St,6,h,2000000.0,S,Ray,1/07/2017,17.3,6.0,3.0,4.0,836.0,,,-37.98942,145.03394,144
12 Auckland St,3,h,1365000.0,S,Buxton,1/07/2017,11.4,3.0,1.0,1.0,776.0,,,-37.92487,145.04703,14
48 Tucker Rd,3,h,1045000.0,SP,hockingstuart,1/07/2017,11.4,3.0,1.0,1.0,401.0,114.0,1970.0,-37.92999,145.04932,14
1 Gladesville Dr,5,h,1220000.0,S,Buxton,1/07/2017,13.8,5.0,2.0,2.0,611.0,188.0,1950.0,-37.93228,145.07026000000005,15
96 Avebury Dr,4,h,627500.0,SP,C21,1/07/2017,35.2,4.0,2.0,2.0,687.0,,,-38.02434,145.33117,145
39 Lockwoods Rd,3,h,642000.0,S,Stockdale,1/07/2017,25.0,3.0,2.0,2.0,968.0,,,-37.84674,145.29351,146
31A Beaconsfield Rd,3,h,840000.0,S,Barry,1/07/2017,16.1,3.0,1.0,2.0,509.0,120.0,2000.0,-37.70822,145.11495,147
20 Byron St,3,h,2650000.0,S,RT,1/07/2017,10.5,3.0,2.0,2.0,645.0,219.0,1910.0,-37.90876,145.00743,18
36/568 New St,1,u,380000.0,VB,Chisholm,1/07/2017,10.5,1.0,1.0,1.0,1993.0,46.0,2000.0,-37.88468,144.99722,18
160 Were St,5,h,3250000.0,SP,Hodges,1/07/2017,10.5,5.0,3.0,2.0,835.0,,,-37.92615,145.00282,18
18 Centre Rd,4,t,1731000.0,SP,Buxton,1/07/2017,10.3,4.0,3.0,2.0,345.0,239.0,2001.0,-37.91503,145.00888,19
1/124 Cuthbert St,3,t,465000.0,S,Barry,1/07/2017,14.0,3.0,2.0,3.0,248.0,123.21,2010.0,-37.68358,144.92387,148
21 Graham St,3,h,518500.0,S,YPA,1/07/2017,14.0,3.0,1.0,0.0,576.0,110.0,1999.0,-37.69237,144.93143999999995,148
11/757 Park St,2,u,692000.0,S,Jellis,1/07/2017,5.2,2.0,1.0,1.0,0.0,,,-37.77742,144.95666,20
36 Clarence St,2,h,1305000.0,S,Nicholson,1/07/2017,4.0,2.0,1.0,0.0,315.0,,,-37.76386,144.97783,111
36 Newman St,3,h,1100000.0,S,Brad,1/07/2017,5.2,3.0,1.0,1.0,322.0,,,-37.76073,144.94803000000005,21
2/59 Smith St,2,h,573000.0,S,Jellis,1/07/2017,5.2,2.0,1.0,1.0,0.0,,1970.0,-37.76732,144.94098,21
80 Thompsons Rd,3,h,1060000.0,S,Fletchers,1/07/2017,10.8,3.0,1.0,2.0,631.0,,,-37.77615,145.08907,22
28 Greenwood Dr,3,h,805000.0,S,Barry,1/07/2017,12.1,3.0,1.0,2.0,669.0,,,-37.70834,145.05424,149
533 Grimshaw St,3,h,682000.0,S,Ray,1/07/2017,12.1,3.0,1.0,1.0,583.0,,,-37.70074,145.0648,149
31 Batman St,3,h,535000.0,S,Barry,1/07/2017,14.8,3.0,2.0,2.0,472.0,230.0,2005.0,-37.7331,144.76282,150
2 Amaroo Ct,4,h,1088000.0,PI,Ray,1/07/2017,14.7,4.0,1.0,1.0,536.0,140.7481,,-37.8534,145.14218,151
11 Kalista Ct,3,h,1180000.0,S,Fletchers,1/07/2017,14.7,3.0,1.0,1.0,563.0,,,-37.85771,145.15466,151
16 Homebush Rd,3,h,630000.0,PI,YPA,1/07/2017,14.8,3.0,2.0,2.0,397.0,145.0,2007.0,-37.75107,144.78415,152
6/9 Eddy St,2,u,677000.0,S,Noel,1/07/2017,7.7,2.0,1.0,1.0,131.0,76.0,1975.0,-37.84716,145.07351,24
2/576 Riversdale Rd,2,u,670000.0,VB,Jellis,1/07/2017,7.7,2.0,1.0,1.0,0.0,,,-37.83202,145.06095,24
4/924 Toorak Rd,3,t,1320000.0,PI,Bekdon,1/07/2017,7.7,3.0,2.0,2.0,227.0,223.0,2006.0,-37.84689,145.05863,24
108/2 Gascoyne St,2,u,816000.0,S,Nelson,1/07/2017,8.4,2.0,2.0,1.0,8140.0,86.5,2015.0,-37.82091,145.06011,25
5/50 Barkly St,1,u,350000.0,VB,Woodards,1/07/2017,1.6,1.0,1.0,1.0,0.0,30.6,1970.0,-37.79859,144.97336,114
106/37 Palmerston St,2,u,620000.0,S,Woodards,1/07/2017,1.6,2.0,2.0,1.0,0.0,,2013.0,-37.7969,144.9742,114
113 Station St,3,h,1760000.0,S,Nelson,1/07/2017,1.6,3.0,2.0,2.0,151.0,,,-37.79449,144.97406,114
16/7 Toolondo Cl,3,h,545000.0,SP,Metro,1/07/2017,14.8,3.0,2.0,2.0,301.0,,,-37.74397,144.73471999999995,153
3/29 Sussex Rd,2,u,1091500.0,S,hockingstuart,1/07/2017,8.7,2.0,2.0,1.0,225.0,,,-37.89565,145.0234,30
4 Cronin Ct,5,h,1140000.0,S,O'Brien,1/07/2017,17.9,5.0,2.0,2.0,570.0,,,-37.96763,145.07898,154
2/14 Jack Rd,3,t,950000.0,S,Chisholm,1/07/2017,17.9,3.0,3.0,2.0,160.0,149.0,2013.0,-37.96062,145.04296000000005,154
4/3 MacKenzie St,2,u,425000.0,S,Purplebricks,1/07/2017,17.9,2.0,1.0,1.0,0.0,,,-37.97143,145.05219,154
105 Wilson St,3,h,1116000.0,S,Ray,1/07/2017,17.9,3.0,1.0,2.0,610.0,,,-37.95629,145.06031000000004,154
5/94 Roseneath St,3,u,1030000.0,S,Nelson,1/07/2017,3.6,3.0,2.0,2.0,538.0,,1995.0,-37.79297,144.99776,32
126 Barrow St,2,h,900000.0,VB,Jellis,1/07/2017,6.7,2.0,1.0,1.0,350.0,100.0,1920.0,-37.74483,144.97269,33
12 Rasmussen Ct,4,h,922000.0,SP,68,1/07/2017,6.7,4.0,2.0,2.0,463.0,80.0,1960.0,-37.73704,144.97959,33
18 Shaftsbury St,3,h,1077000.0,S,Jellis,1/07/2017,6.7,3.0,1.0,2.0,512.0,,,-37.75279000000001,144.95379,33
29 Livingstone St,3,h,805000.0,PI,Jellis,1/07/2017,6.7,3.0,2.0,2.0,296.0,,,-37.72495,144.98348,34
13 Aston St,4,h,665000.0,PI,RE,1/07/2017,20.6,4.0,2.0,2.0,756.0,236.0,2007.0,-37.58885,144.90135,155
13 Brampton Cl,3,h,515500.0,S,RE,1/07/2017,20.6,3.0,1.0,4.0,651.0,117.0,1990.0,-37.60329,144.93948,155
6 Vision Rd,3,h,660000.0,S,LJ,1/07/2017,20.6,3.0,2.0,3.0,618.0,225.5,2014.0,-37.59715,144.89656000000005,155
26 Mundaring Dr,5,h,572000.0,S,O'Brien,1/07/2017,34.7,5.0,2.0,1.0,581.0,,,-38.10687,145.2811,156
8 Banool Ct,4,h,932000.0,S,Hoskins,1/07/2017,23.0,4.0,2.0,2.0,880.0,225.0,1970.0,-37.79587,145.2683,157
15 Ronald Rd,2,h,570000.0,SP,McGrath,1/07/2017,23.0,2.0,1.0,1.0,312.0,110.0,1994.0,-37.80752,145.27212,157
2/26 Vernon St,4,h,875000.0,S,Barry,1/07/2017,23.0,4.0,2.0,2.0,244.0,,,-37.80267,145.27569,157
5/6 MacPherson St,2,u,348000.0,S,McLennan,1/07/2017,24.7,2.0,1.0,0.0,156.0,,,-37.98712,145.22262,158
110 Gladstone Rd,3,h,627000.0,S,Barry,1/07/2017,24.7,3.0,1.0,1.0,610.0,120.0,1970.0,-37.96322,145.20586,159
52 Simpson Dr,3,h,760000.0,SP,O'Brien,1/07/2017,24.7,3.0,1.0,2.0,751.0,,,-37.96609,145.21997,159
17 Norma St,2,h,621000.0,S,Mason,1/07/2017,21.8,2.0,1.0,0.0,610.0,61.0,1939.0,-37.67629,145.15589,160
2/77 Centre Dandenong Rd,2,u,612000.0,S,Buxton,1/07/2017,22.2,2.0,1.0,1.0,197.0,,1975.0,-37.98412,145.13433,161
13 Carnarvon St,3,t,840000.0,SP,Philip,1/07/2017,12.4,3.0,2.0,2.0,0.0,,,-37.78653,145.12363,36
66 Saxonwood Dr,6,h,1856000.0,SP,Barry,1/07/2017,14.3,6.0,3.0,3.0,1056.0,322.0,1970.0,-37.78053,145.15567,162
1 Bernarra Ct,7,h,2705000.0,S,Ray,1/07/2017,16.1,7.0,2.0,4.0,5022.0,409.54,2004.0,-37.76598,145.19329,163
33 Starboard Dr,3,h,530500.0,S,Buckingham,1/07/2017,25.9,3.0,2.0,2.0,400.0,179.0,2012.0,-37.61042,145.11932,164
59 Bible St,3,h,975000.0,S,Morrison,1/07/2017,18.0,3.0,1.0,0.0,841.0,,,-37.71926,145.15081999999995,165
6 Orbel Ct,3,h,805000.0,S,Barry,1/07/2017,18.0,3.0,2.0,0.0,848.0,127.0,1979.0,-37.70913,145.1647,165
59 Greenfields Dr,4,h,940000.0,SP,Iconek,1/07/2017,19.6,4.0,3.0,2.0,508.0,364.0,2012.0,-37.62693,145.01563000000004,166
2/4 Grimwade Ct,2,u,437000.0,S,hockingstuart,1/07/2017,19.6,2.0,1.0,2.0,351.0,109.0,2000.0,-37.65099,145.04663,166
1 Simon Ct,5,h,660000.0,S,hockingstuart,1/07/2017,19.6,5.0,3.0,2.0,708.0,,,-37.63888,145.02813,166
21 Butler St,3,h,1325000.0,S,McDonald,1/07/2017,7.5,3.0,2.0,2.0,441.0,,,-37.74664,144.92285,40
9/44 Fletcher St,1,u,310000.0,S,Considine,1/07/2017,7.5,1.0,1.0,1.0,0.0,,,-37.75515,144.92113999999995,40
1/8 Graves St,3,t,864000.0,S,Brad,1/07/2017,7.5,3.0,1.0,2.0,177.0,3.0,,-37.7401,144.89674,40
10/30 Richardson St,1,u,291000.0,S,Nelson,1/07/2017,7.5,1.0,1.0,1.0,0.0,47.0,1970.0,-37.75121,144.91326,40
6 Bourke St,3,h,750000.0,VB,Brad,1/07/2017,7.5,3.0,1.0,1.0,236.0,114.0,2000.0,-37.75403,144.8867,116
36 Emerald St,5,h,2200000.0,VB,Nelson,1/07/2017,7.5,5.0,3.0,2.0,607.0,291.0,2016.0,-37.75148,144.88519,116
60 Station St,3,h,1550000.0,S,Jellis,1/07/2017,5.7,3.0,2.0,0.0,478.0,,,-37.78022,145.01771000000005,42
75 Lowson St,3,h,720000.0,S,Barry,1/07/2017,13.1,3.0,1.0,2.0,603.0,,,-37.69863,144.96685,117
108 Michael St,2,h,1350000.0,VB,Nelson,1/07/2017,3.6,2.0,1.0,1.0,184.0,79.0,1900.0,-37.78493,144.98879,44
222 Rae St,3,h,1852000.0,S,Jellis,1/07/2017,3.6,3.0,2.0,1.0,138.0,125.0,1900.0,-37.78714,144.97966,44
372 Rae St,2,h,1100000.0,S,Woodards,1/07/2017,3.6,2.0,1.0,0.0,139.0,,,-37.7836,144.98031,44
10/30 Pickett St,1,u,170000.0,PI,Burnham,1/07/2017,5.1,1.0,1.0,0.0,30.0,26.0,2013.0,-37.80141,144.89587,46
4 Sapphire St,4,h,1372000.0,S,Ray,1/07/2017,15.4,4.0,1.0,2.0,866.0,,1970.0,-37.83816,145.17783,167
13 Will St,3,t,850500.0,S,Noel,1/07/2017,15.4,3.0,2.0,2.0,353.0,,,-37.83401,145.17757,167
42 Kars St,3,h,640000.0,S,hockingstuart,1/07/2017,38.0,3.0,2.0,1.0,368.0,,,-38.1523,145.11874,168
17 Windoo St,3,h,611000.0,S,Ray,1/07/2017,36.9,3.0,2.0,1.0,691.0,109.0,1960.0,-38.11948,145.14928,169
14 Poinciana St,3,h,755000.0,S,hockingstuart,1/07/2017,38.0,3.0,1.0,2.0,786.0,174.0,1960.0,-38.16492,145.12656,170
3 Sansom St,4,h,521000.0,SP,Raine,1/07/2017,45.9,4.0,2.0,2.0,978.0,144.0,1980.0,-37.49642,144.60119,171
9 Dolphin Ct,3,h,625000.0,S,YPA,1/07/2017,12.9,3.0,1.0,2.0,544.0,,,-37.68541,144.88471,172
121 High St,4,h,1910000.0,S,hockingstuart,1/07/2017,7.3,4.0,2.0,3.0,737.0,,,-37.86231,145.07213000000004,47
1/1484 Malvern Rd,2,u,500000.0,PI,Thomson,1/07/2017,7.3,2.0,1.0,1.0,0.0,76.0,1965.0,-37.85399,145.04699,47
6/35 Scott Gr,2,u,523000.0,S,Thomson,1/07/2017,7.3,2.0,1.0,1.0,0.0,,,-37.85546,145.04998,47
2/15 Ogden St,3,t,525000.0,S,Jellis,1/07/2017,11.2,3.0,1.0,1.0,194.0,133.0,2011.0,-37.70168,144.94862,48
5 Patrick St,3,h,847000.0,SP,Barry,1/07/2017,11.2,3.0,1.0,2.0,650.0,,,-37.71399,144.92264,48
44 Manatunga Cct,6,h,990000.0,S,Darren,1/07/2017,16.1,6.0,3.0,2.0,562.0,,,-37.69749,145.1058,173
2/12 William St,2,u,695000.0,S,Darren,1/07/2017,16.1,2.0,2.0,1.0,208.0,107.0,2000.0,-37.70267,145.09526,173
2a Geum St,2,u,500000.0,S,Harcourts,1/07/2017,11.2,2.0,1.0,2.0,304.0,,,-37.70733,144.94041,50
5 Katrina Cl,3,h,662500.0,S,O'Brien,1/07/2017,32.3,3.0,2.0,2.0,649.0,,,-38.00022,145.2709,174
46/15 Beach Rd,3,u,1210000.0,SP,Chisholm,1/07/2017,13.8,3.0,2.0,2.0,9838.0,152.0,2010.0,-37.93464,144.99601,51
1/23 Charming St,3,h,1140000.0,S,McGrath,1/07/2017,13.8,3.0,1.0,2.0,1469.0,204.0,,-37.93433,145.02983999999995,52
7/28 Elm St,1,u,395000.0,S,Peter,1/07/2017,5.3,1.0,1.0,1.0,910.0,,,-37.81333,145.01932,53
1/514 Glenferrie Rd,3,u,1000000.0,S,Jellis,1/07/2017,5.3,3.0,1.0,1.0,1079.0,90.0,1940.0,-37.82987,145.03421,53
8/3 Kooyongkoot Rd,2,u,450000.0,S,LITTLE,1/07/2017,5.3,2.0,1.0,1.0,2338.0,,,-37.83032,145.03898999999996,53
63 Liddiard St,4,h,2900000.0,S,Jellis,1/07/2017,5.3,4.0,1.0,3.0,636.0,156.0,1890.0,-37.81931,145.04107,53
14/59 Riversdale Rd,2,u,450000.0,PI,Jellis,1/07/2017,5.3,2.0,1.0,1.0,1540.0,71.0,1965.0,-37.82824,145.03136999999995,53
15A Westmount Rd,3,h,650000.0,SP,McGrath,1/07/2017,45.2,3.0,2.0,4.0,724.0,156.6,2009.0,-37.64685,145.52635,175
3 Dougharty Rd,3,h,790000.0,S,Miles,1/07/2017,8.8,3.0,2.0,1.0,458.0,,,-37.73569000000001,145.05913,54
55 McEwan Rd,2,h,780000.0,VB,Barry,1/07/2017,8.8,2.0,1.0,1.0,588.0,,,-37.73764,145.05323,54
1 Bardia St,3,h,726500.0,S,William,1/07/2017,8.8,3.0,1.0,0.0,593.0,95.0,1950.0,-37.7482,145.04073,55
1 Ebony Pde,3,h,710000.0,S,William,1/07/2017,8.8,3.0,1.0,1.0,577.0,,,-37.74307,145.0399,55
2/25 Wilson St,2,u,645000.0,S,Hodges,1/07/2017,16.0,2.0,1.0,1.0,105.0,64.0,1970.0,-37.94887,145.02647,176
3 Sage Cl,5,h,650500.0,SP,YPA,1/07/2017,18.0,5.0,2.0,2.0,615.0,213.0,2007.0,-37.68455,144.73272,177
9/220 Huntingdale Rd,3,h,750000.0,S,Ray,1/07/2017,12.3,3.0,2.0,2.0,321.0,87.0,2005.0,-37.90415,145.10504,178
34 Bliburg St,4,h,650000.0,PI,YPA,1/07/2017,14.0,4.0,1.0,1.0,692.0,181.0,1960.0,-37.6876,144.91167,121
12/1051 Pascoe Vale Rd,2,t,390000.0,S,YPA,1/07/2017,14.0,2.0,1.0,1.0,165.0,89.0,1995.0,-37.68582,144.91638,121
25 Marriot Rd,3,h,810000.0,S,Bells,1/07/2017,15.5,3.0,2.0,2.0,766.0,,,-37.71424,144.7958,179
3 Medina Rd,3,h,735000.0,SP,Brad,1/07/2017,15.5,3.0,2.0,2.0,749.0,180.0,1979.0,-37.72321,144.80882,179
18 Grandvalley Dr,2,t,520000.0,VB,Whiting,1/07/2017,11.7,2.0,2.0,2.0,62.0,62.0,2014.0,-37.73893,144.87661,59
8 Turin Pl,4,h,640000.0,PI,Barry,1/07/2017,15.5,4.0,2.0,1.0,729.0,,1987.0,-37.70115,144.80144,180
17/120 Newman St,3,t,967000.0,S,Edward,1/07/2017,3.4,3.0,2.0,2.0,0.0,120.0,1999.0,-37.79482,144.92192,60
10 Rankins Rd,2,h,850000.0,VB,Nelson,1/07/2017,3.4,2.0,1.0,0.0,133.0,,,-37.78906,144.93173000000004,60
3/58 Rankins Rd,1,t,500000.0,VB,Nelson,1/07/2017,3.4,1.0,1.0,0.0,142.0,,,-37.79059,144.93145,60
9/11 Smith St,2,u,535000.0,SP,Edward,1/07/2017,3.4,2.0,1.0,1.0,0.0,70.0,2011.0,-37.79122,144.93175,60
1/177 Brougham St,2,h,758000.0,S,Jellis,1/07/2017,5.4,2.0,1.0,2.0,901.0,,,-37.79719,145.03177,61
2/13 Westbrook St,2,u,862000.0,S,Jellis,1/07/2017,7.3,2.0,1.0,1.0,1011.0,72.0,1970.0,-37.7972,145.05225,62
15 Daylily Dr,4,h,965000.0,S,Ray,1/07/2017,25.2,4.0,2.0,2.0,576.0,,,-38.00293,145.16465,181
33 Turramurra Dr,4,h,761000.0,S,Barry,1/07/2017,25.2,4.0,1.0,2.0,680.0,170.0,1970.0,-37.9865,145.16767,181
169 Gillespie Rd,3,h,520000.0,PI,Bells,1/07/2017,14.0,3.0,1.0,2.0,570.0,,,-37.73341,144.77161,182
12 Tanglewood St,3,h,530000.0,SP,YPA,1/07/2017,14.0,3.0,1.0,1.0,532.0,112.0,1975.0,-37.731,144.77387,182
48 Coronation St,3,h,1020000.0,S,Village,1/07/2017,6.4,3.0,1.0,0.0,281.0,,,-37.80781,144.88083,123
5/35 Kingsville St,1,u,210000.0,PI,Jas,1/07/2017,6.4,1.0,1.0,1.0,0.0,,,-37.80893,144.87878,123
11 Benaroon Dr,4,h,750000.0,S,Ray,1/07/2017,16.3,4.0,2.0,4.0,544.0,205.0,2008.0,-37.66747,144.98802,183
226 Dalton Rd,3,h,635000.0,S,Harcourts,1/07/2017,16.3,3.0,1.0,4.0,536.0,,,-37.67125,145.03171,183
2/70 David St,2,u,410000.0,S,Harcourts,1/07/2017,16.3,2.0,1.0,1.0,143.0,,,-37.67222,145.0231,183
15 Dennis St,5,h,675000.0,SP,Harcourts,1/07/2017,16.3,5.0,2.0,2.0,750.0,,,-37.67227000000001,145.03595,183
13 Anthony Cl,5,h,880000.0,S,Barry,1/07/2017,14.6,5.0,2.0,2.0,725.0,,,-37.72399,145.12069,184
14/4 Crefden St,1,u,280000.0,VB,McGrath,1/07/2017,6.4,1.0,1.0,1.0,3826.0,55.0,2009.0,-37.77757,144.87232,64
3/10 Greenham St,2,t,520000.0,S,Jas,1/07/2017,6.4,2.0,1.0,1.0,126.0,,,-37.78775,144.87446,64
3/83 Mitchell St,3,t,895000.0,S,Rendina,1/07/2017,6.4,3.0,2.0,2.0,262.0,153.0,2004.0,-37.78284,144.88098,64
69 Brunel St,3,h,2110000.0,S,Jellis,1/07/2017,8.4,3.0,1.0,2.0,627.0,,,-37.86996,145.05621000000005,66
6 Clyde St,3,h,1050000.0,PI,Brad,1/07/2017,4.3,3.0,2.0,1.0,563.0,,,-37.769,144.89934,67
38 Gretel Gr,4,h,320000.0,SP,Raine,1/07/2017,31.7,4.0,2.0,1.0,547.0,200.0,1986.0,-37.69026,144.57866,185
21 Sandra St,3,h,480000.0,SP,PRDNationwide,1/07/2017,31.7,3.0,1.0,2.0,900.0,100.0,1980.0,-37.68738,144.57415,185
26 Coppice St,4,h,670000.0,S,Harcourts,1/07/2017,25.9,4.0,2.0,2.0,512.0,221.0,2012.0,-37.58676,145.08889,186
